vehicle_id,month,downtime_days,availability_rate,department
VEH-00001,2022-09,3.3,0.89,FIRE DEPARTMENT
VEH-00001,2022-11,6.9,0.77,FIRE DEPARTMENT
VEH-00001,2024-10,1.2,0.96,FIRE DEPARTMENT
VEH-00002,2024-03,12.5,0.5833333333333333,PUBLIC WORKS
VEH-00004,2023-04,16.3,0.45666666666666667,POLICE DEPARTMENT
VEH-00004,2024-05,13.0,0.5666666666666667,POLICE DEPARTMENT
VEH-00006,2022-11,11.9,0.6033333333333333,WATER DEPARTMENT
VEH-00007,2022-11,3.4,0.8866666666666667,WATER DEPARTMENT
VEH-00007,2023-05,6.1,0.7966666666666666,WATER DEPARTMENT
VEH-00008,2024-05,19.0,0.3666666666666667,PUBLIC WORKS
VEH-00009,2024-02,1.7,0.9433333333333334,POLICE DEPARTMENT
VEH-00011,2023-09,6.2,0.7933333333333333,WATER DEPARTMENT
VEH-00011,2024-03,8.9,0.7033333333333334,WATER DEPARTMENT
VEH-00013,2023-09,8.7,0.71,PUBLIC WORKS
VEH-00014,2022-01,3.3,0.89,WATER DEPARTMENT
VEH-00015,2022-10,10.1,0.6633333333333333,WATER DEPARTMENT
VEH-00015,2024-02,2.2,0.9266666666666666,WATER DEPARTMENT
VEH-00016,2022-03,9.1,0.6966666666666667,WATER DEPARTMENT
VEH-00016,2023-10,8.0,0.7333333333333334,WATER DEPARTMENT
VEH-00017,2024-04,13.7,0.5433333333333333,EMR
VEH-00019,2024-02,5.4,0.82,FIRE DEPARTMENT
VEH-00020,2022-04,4.3,0.8566666666666667,EMR
VEH-00020,2022-10,3.2,0.8933333333333333,EMR
VEH-00021,2022-03,12.6,0.5800000000000001,POLICE DEPARTMENT
VEH-00021,2024-08,12.0,0.6,POLICE DEPARTMENT
VEH-00021,2024-10,10.9,0.6366666666666667,POLICE DEPARTMENT
VEH-00022,2023-07,4.0,0.8666666666666667,WATER DEPARTMENT
VEH-00023,2024-02,4.6,0.8466666666666667,EMR
VEH-00023,2024-08,11.1,0.63,EMR
VEH-00024,2022-12,8.3,0.7233333333333334,EMR
VEH-00025,2023-11,12.3,0.59,FIRE DEPARTMENT
VEH-00025,2024-03,14.1,0.53,FIRE DEPARTMENT
VEH-00026,2024-03,12.9,0.5700000000000001,POLICE DEPARTMENT
VEH-00027,2022-01,5.8,0.8066666666666666,WATER DEPARTMENT
VEH-00029,2022-08,3.6,0.88,POLICE DEPARTMENT
VEH-00029,2023-06,25.8,0.14,POLICE DEPARTMENT
VEH-00030,2022-08,10.5,0.65,WATER DEPARTMENT
VEH-00030,2024-07,11.7,0.6100000000000001,WATER DEPARTMENT
VEH-00031,2024-10,2.6,0.9133333333333333,POLICE DEPARTMENT
VEH-00032,2022-06,14.0,0.5333333333333333,WATER DEPARTMENT
VEH-00032,2022-12,12.7,0.5766666666666667,WATER DEPARTMENT
VEH-00032,2023-10,14.6,0.5133333333333334,WATER DEPARTMENT
VEH-00033,2022-04,14.5,0.5166666666666666,WATER DEPARTMENT
VEH-00033,2024-12,12.4,0.5866666666666667,WATER DEPARTMENT
VEH-00034,2024-04,2.1,0.9299999999999999,PUBLIC WORKS
VEH-00034,2024-06,6.7,0.7766666666666666,PUBLIC WORKS
VEH-00035,2022-02,10.0,0.6666666666666667,PUBLIC WORKS
VEH-00035,2022-04,14.0,0.5333333333333333,PUBLIC WORKS
VEH-00037,2022-03,10.4,0.6533333333333333,EMR
VEH-00038,2022-05,10.1,0.6633333333333333,WATER DEPARTMENT
VEH-00040,2022-09,3.8,0.8733333333333333,FIRE DEPARTMENT
VEH-00042,2023-02,5.5,0.8166666666666667,FIRE DEPARTMENT
VEH-00042,2023-03,2.9,0.9033333333333333,FIRE DEPARTMENT
VEH-00042,2024-11,0.9,0.97,FIRE DEPARTMENT
VEH-00044,2024-09,5.9,0.8033333333333333,PUBLIC WORKS
VEH-00045,2023-03,9.8,0.6733333333333333,EMR
VEH-00045,2023-04,9.2,0.6933333333333334,EMR
VEH-00046,2022-01,10.5,0.65,POLICE DEPARTMENT
VEH-00048,2023-12,20.4,0.32000000000000006,FIRE DEPARTMENT
VEH-00049,2022-04,7.7,0.7433333333333334,FIRE DEPARTMENT
VEH-00050,2024-11,1.9,0.9366666666666666,WATER DEPARTMENT
VEH-00052,2022-09,9.8,0.6733333333333333,POLICE DEPARTMENT
VEH-00052,2023-01,12.7,0.5766666666666667,POLICE DEPARTMENT
VEH-00053,2023-06,7.4,0.7533333333333333,PUBLIC WORKS
VEH-00054,2024-06,14.7,0.51,PUBLIC WORKS
VEH-00055,2022-11,7.9,0.7366666666666666,POLICE DEPARTMENT
VEH-00055,2023-08,14.9,0.5033333333333333,POLICE DEPARTMENT
VEH-00056,2023-01,6.0,0.8,PUBLIC WORKS
VEH-00056,2023-03,4.0,0.8666666666666667,PUBLIC WORKS
VEH-00056,2023-05,4.4,0.8533333333333333,PUBLIC WORKS
