vehicle_id,maintenance_date,downtime_days,predicted_downtime,next_service_date
VEH-00001,2022-11-02,6.9,1.96,2023-01-31
VEH-00001,2022-09-18,3.3,1.96,2022-12-17
VEH-00001,2024-10-27,1.2,1.96,2025-01-25
VEH-00002,2024-03-21,12.5,10.11,2024-06-19
VEH-00004,2023-04-18,6.3,10.73,2023-07-17
VEH-00004,2023-04-05,10.0,10.73,2023-07-04
VEH-00004,2024-05-01,13.0,10.73,2024-07-30
VEH-00006,2022-11-22,11.9,9.82,2023-02-20
VEH-00007,2023-05-23,6.1,4.84,2023-08-21
VEH-00007,2022-11-05,3.4,4.84,2023-02-03
VEH-00008,2024-05-09,5.8,9.49,2024-08-07
VEH-00008,2024-05-05,13.2,9.49,2024-08-03
VEH-00009,2024-02-24,1.7,4.82,2024-05-24
VEH-00011,2024-03-17,8.9,7.58,2024-06-15
VEH-00011,2023-09-08,6.2,7.58,2023-12-07
VEH-00013,2023-09-20,8.7,8.25,2023-12-19
VEH-00014,2022-01-18,3.3,5.61,2022-04-18
VEH-00015,2024-02-29,2.2,6.21,2024-05-29
VEH-00015,2022-10-28,10.1,6.21,2023-01-26
VEH-00016,2023-10-19,8.0,8.56,2024-01-17
VEH-00016,2022-03-22,9.1,8.56,2022-06-20
VEH-00017,2024-04-14,13.7,10.7,2024-07-13
VEH-00019,2024-02-18,5.4,6.64,2024-05-18
VEH-00020,2022-10-02,3.2,3.86,2022-12-31
VEH-00020,2022-04-28,4.3,3.86,2022-07-27
VEH-00021,2022-03-13,12.6,13.76,2022-06-11
VEH-00021,2024-10-19,10.9,13.76,2025-01-17
VEH-00021,2024-08-14,12.0,13.76,2024-11-12
VEH-00022,2023-07-04,4.0,5.95,2023-10-02
VEH-00023,2024-08-25,11.1,7.87,2024-11-23
VEH-00023,2024-02-22,4.6,7.87,2024-05-22
VEH-00024,2022-12-29,8.3,8.06,2023-03-29
VEH-00025,2023-11-12,12.3,13.11,2024-02-10
VEH-00025,2024-03-28,14.1,13.11,2024-06-26
VEH-00026,2024-03-24,12.9,10.31,2024-06-22
VEH-00027,2022-01-28,5.8,6.83,2022-04-28
VEH-00029,2023-06-29,12.3,10.77,2023-09-27
VEH-00029,2023-06-27,13.5,10.77,2023-09-25
VEH-00029,2022-08-27,3.6,10.77,2022-11-25
VEH-00030,2024-07-16,11.7,11.05,2024-10-14
VEH-00030,2022-08-02,10.5,11.05,2022-10-31
VEH-00031,2024-10-12,2.6,5.27,2025-01-10
VEH-00032,2022-06-12,14.0,16.6,2022-09-10
VEH-00032,2023-10-14,14.6,16.6,2024-01-12
VEH-00032,2022-12-27,12.7,16.6,2023-03-27
VEH-00033,2022-04-10,14.5,13.36,2022-07-09
VEH-00033,2024-12-19,12.4,13.36,2025-03-19
VEH-00034,2024-06-29,6.7,4.5,2024-09-27
VEH-00034,2024-04-12,2.1,4.5,2024-07-11
VEH-00035,2022-04-06,14.0,11.94,2022-07-05
VEH-00035,2022-02-20,10.0,11.94,2022-05-21
VEH-00037,2022-03-16,10.4,9.08,2022-06-14
VEH-00038,2022-05-15,10.1,8.94,2022-08-13
VEH-00040,2022-09-03,3.8,5.85,2022-12-02
VEH-00042,2023-03-22,2.9,0.94,2023-06-20
VEH-00042,2023-02-11,5.5,0.94,2023-05-12
VEH-00042,2024-11-27,0.9,0.94,2025-02-25
VEH-00044,2024-09-19,5.9,6.88,2024-12-18
VEH-00045,2023-03-13,9.8,9.49,2023-06-11
VEH-00045,2023-04-10,9.2,9.49,2023-07-09
VEH-00046,2022-01-03,10.5,9.13,2022-04-03
VEH-00048,2023-12-27,6.7,10.17,2024-03-26
VEH-00048,2023-12-18,13.7,10.17,2024-03-17
