vehicle_id,now_avg_kmpl,now_avg_kmpl_inv,now_total_fuel_cost_inr,now_avg_co2_kg,future_avg_kmpl,future_avg_kmpl_inv,future_total_fuel_cost_inr,future_avg_co2_kg
VEH-00001,15.11,0.0662,149945.03,2.13,14.55,0.0687,162393.8,2.32
VEH-00002,18.88,0.053,72200.54,2.39,18.26,0.0548,89812.14,2.86
VEH-00003,15.59,0.0641,510768.98,3.46,15.04,0.0665,569815.99,3.64
VEH-00004,14.65,0.0683,603902.61,3.61,13.21,0.0757,748453.99,4.08
VEH-00005,14.56,0.0687,466936.84,3.45,13.98,0.0715,568185.17,3.97
VEH-00006,15.67,0.0638,268184.7,2.62,14.57,0.0686,300579.54,3.12
VEH-00007,15.54,0.0644,446360.64,2.99,14.91,0.0671,493086.76,3.51
VEH-00008,17.98,0.0556,218420.63,2.84,16.95,0.059,253551.7,3.17
VEH-00009,17.27,0.0579,185599.81,2.25,16.13,0.062,208236.7,2.47
VEH-00010,13.88,0.072,582713.92,3.68,12.41,0.0806,674164.61,4.21
VEH-00011,13.25,0.0755,557447.91,3.59,12.32,0.0812,675863.42,3.86
VEH-00012,11.83,0.0845,785526.48,3.95,10.81,0.0925,872586.6,4.22
VEH-00013,10.14,0.0986,954640.31,4.13,8.86,0.1129,1136908.45,4.35
VEH-00014,17.02,0.0588,244758.23,2.75,15.74,0.0635,270295.46,2.99
VEH-00015,15.62,0.064,150640.71,2.17,14.87,0.0672,175653.1,2.55
VEH-00016,13.74,0.0728,657281.51,3.91,12.13,0.0824,789324.79,4.48
VEH-00017,16.86,0.0593,369263.44,2.91,15.62,0.064,434914.33,3.41
VEH-00018,17.53,0.057,272767.36,2.97,16.43,0.0609,298956.53,3.14
VEH-00019,13.65,0.0733,458754.72,3.15,12.73,0.0786,552080.41,3.44
VEH-00020,11.32,0.0883,990533.0,4.6,10.05,0.0995,1233338.3,4.9
VEH-00021,16.69,0.0599,379678.55,3.02,15.84,0.0631,441257.36,3.46
VEH-00022,14.94,0.0669,527876.9,3.64,13.78,0.0726,643920.85,4.34
VEH-00023,18.97,0.0527,159229.85,2.09,17.86,0.056,178873.61,2.48
VEH-00024,16.29,0.0614,184233.8,2.33,14.51,0.0689,205898.67,2.67
VEH-00025,15.03,0.0665,458267.87,3.24,13.87,0.0721,508137.21,3.42
VEH-00026,16.29,0.0614,233408.37,2.76,14.79,0.0676,270588.87,3.16
VEH-00027,17.75,0.0563,142097.13,2.12,16.67,0.06,159317.15,2.26
VEH-00028,17.67,0.0566,312367.83,2.81,16.55,0.0604,388329.53,3.11
VEH-00029,14.65,0.0683,574880.23,3.72,13.24,0.0755,654640.23,4.04
VEH-00030,15.74,0.0635,316465.68,2.9,14.99,0.0667,375364.19,3.14
VEH-00031,16.98,0.0589,97432.74,2.29,16.09,0.0622,116808.84,2.58
VEH-00032,16.33,0.0612,291263.1,2.65,15.25,0.0656,343465.84,2.94
VEH-00033,12.06,0.0829,965346.04,4.28,10.67,0.0937,1062474.36,4.79
VEH-00034,16.87,0.0593,310417.17,2.97,15.41,0.0649,384185.71,3.42
VEH-00035,13.51,0.074,482994.06,3.27,12.6,0.0794,554438.16,3.46
VEH-00036,19.32,0.0518,29035.75,2.03,17.82,0.0561,36235.32,2.26
VEH-00037,11.66,0.0858,792815.04,3.78,9.97,0.1003,988407.07,4.28
VEH-00038,14.71,0.068,546026.21,3.61,14.1,0.0709,606695.08,4.09
VEH-00039,19.67,0.0508,94649.19,2.26,17.94,0.0557,116907.89,2.58
