vehicle_id,now_incident_count,now_total_claim_amt_inr,now_total_downtime_inc_days,now_total_repair_cost_inr,future_incident_count,future_total_claim_amt_inr,future_total_downtime_inc_days,future_total_repair_cost_inr
VEH-00001,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00002,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00003,4,162981.5,10.7,62916.8,4,177627.22,12.4,82721.93
VEH-00004,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00005,3,98270.14,8.1,90532.32,4,119988.4,10.9,107604.37
VEH-00006,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00007,1,56100.22,2.7,41583.41,1,72688.67,3.4,53185.47
VEH-00008,1,12376.22,1.9,53424.5,1,14666.97,2.4,67008.98
VEH-00009,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00010,2,111042.92,1.7,34537.04,4,124934.49,2.0,37590.04
VEH-00011,2,32864.75,8.8,98040.06,3,35859.73,10.3,112286.42
VEH-00012,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00013,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00014,1,53419.12,1.6,15793.22,1,62315.18,2.0,18922.0
VEH-00015,1,70091.09,2.2,5865.72,1,77104.47,2.4,6854.28
VEH-00016,3,221485.19,9.5,150085.33,4,257794.93,13.2,178080.96
VEH-00017,2,23995.58,7.4,92655.12,3,30015.24,8.2,100563.81
VEH-00018,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00019,2,157782.37,6.5,50599.84,3,191909.24,7.0,62336.13
VEH-00020,3,229017.74,12.3,73343.02,3,255949.09,16.2,91937.84
VEH-00021,2,19029.41,2.3,13004.3,3,23795.04,3.0,14677.08
VEH-00022,3,77337.02,6.3,16979.1,3,96362.95,7.8,20410.74
VEH-00023,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00024,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00025,1,47983.48,4.4,10192.6,2,59878.62,6.0,11792.17
VEH-00026,1,35049.81,0.5,29126.2,2,37370.24,0.6,36939.06
VEH-00027,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00028,1,78758.24,2.7,22811.38,2,91850.33,3.2,29677.76
VEH-00029,2,72261.77,5.8,43413.31,4,78427.86,6.7,57259.04
VEH-00030,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00031,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00032,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00033,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00034,2,143466.43,2.3,41192.58,3,169814.8,3.1,47590.15
VEH-00035,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00036,1,43306.71,2.3,37249.21,1,49389.22,3.0,42214.07
VEH-00037,4,21982.4,8.6,206116.03,6,23229.74,11.2,251851.73
VEH-00038,2,121532.97,6.2,92310.49,2,150087.05,8.4,115358.7
VEH-00039,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00040,1,39119.01,2.1,33732.88,2,49650.29,2.4,43267.24
VEH-00041,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00042,1,57054.68,3.7,11014.9,2,72429.1,4.0,14785.58
VEH-00043,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00044,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00045,3,120589.61,7.8,35953.51,3,127486.53,8.9,40874.56
VEH-00046,2,102762.03,3.0,78256.34,4,133318.89,3.5,103313.91
VEH-00047,5,181812.63,15.8,46165.35,5,220220.12,17.5,55868.0
VEH-00048,4,318250.61,15.2,17973.4,4,390566.02,19.1,20576.14
VEH-00049,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00050,1,49578.33,4.1,12351.42,2,59160.24,4.9,15474.58
VEH-00051,1,28420.7,3.4,38791.2,3,31282.84,3.6,46844.25
VEH-00052,2,17588.83,9.9,13770.7,3,18660.28,13.5,16441.7
VEH-00053,2,46760.83,5.2,11702.81,2,55411.32,7.2,14318.61
VEH-00054,1,22304.13,2.2,24611.09,2,23639.3,2.4,27940.54
VEH-00055,1,16130.37,4.2,6106.74,3,18855.44,5.3,7637.98
VEH-00056,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00057,1,63123.22,0.6,9422.69,3,67157.92,0.7,10259.73
VEH-00058,2,78491.92,3.7,107300.5,4,86167.0,4.7,134466.09
VEH-00059,3,31733.86,5.7,20158.21,3,37530.71,7.7,21954.23
VEH-00060,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00061,4,29805.91,17.6,109510.27,5,36491.79,21.4,115290.99
VEH-00062,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00063,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00064,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00065,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00066,2,105200.28,1.9,100243.05,4,111066.23,2.2,125678.82
VEH-00067,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00068,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00069,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00070,1,37628.65,3.7,58081.98,1,40954.14,4.8,65977.53
VEH-00071,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00072,1,66753.68,2.3,45323.7,2,79644.57,3.1,60381.11
VEH-00073,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00074,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00075,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00076,3,189400.58,3.8,49136.73,5,211278.92,4.6,63246.59
VEH-00077,1,15437.87,3.4,29607.32,1,18460.28,3.7,31171.29
VEH-00078,1,8032.78,4.8,51457.13,1,8712.47,5.6,57698.08
VEH-00079,0,0.0,0.0,0.0,0,0.0,0.0,0.0
