maintenance_id,vehicle_id,maintenance_date,maintenance_type,maintenance_code,cost_inr,downtime_days,description,now_maint_count,now_total_maint_cost,now_avg_parts_cost,now_avg_labor_cost,now_total_downtime_days,future_maint_count,future_total_maint_cost,future_avg_parts_cost,future_avg_labor_cost,future_total_downtime_days
MNT-000001,VEH-00001,2022-11-02,Corrective,CM-001,300.0,6.9,Radiator flush,3,900.0,165.0,135.0,11.4,4,1091.13,181.5,148.5,15.1
MNT-000002,VEH-00001,2022-09-18,Preventive,CM-002,300.0,3.3,Coolant flush and refill,3,900.0,165.0,135.0,11.4,4,1246.69,181.5,148.5,15.1
MNT-000003,VEH-00001,2024-10-27,Preventive,OVH-001,300.0,1.2,Fuel system cleaning,3,900.0,165.0,135.0,11.4,4,1187.64,181.5,148.5,15.1
MNT-000004,VEH-00002,2024-03-21,Corrective,PM-001,300.0,12.5,Radiator flush,1,300.0,165.0,135.0,12.5,1,383.88,181.5,148.5,19.2
MNT-000005,VEH-00004,2023-04-18,Inspection,OVH-002,300.0,6.3,Battery check and replacement,3,900.0,165.0,135.0,29.3,4,1032.13,181.5,148.5,42.6
MNT-000006,VEH-00004,2023-04-05,Corrective,PM-002,300.0,10.0,Tyre rotation and alignment,3,900.0,165.0,135.0,29.3,4,1032.12,181.5,148.5,42.6
MNT-000007,VEH-00004,2024-05-01,Preventive,OVH-002,300.0,13.0,Brake pad replacement,3,900.0,165.0,135.0,29.3,4,1005.68,181.5,148.5,42.6
MNT-000008,VEH-00006,2022-11-22,Overhaul,CM-002,300.0,11.9,Fuel system cleaning,1,300.0,165.0,135.0,11.9,1,407.96,181.5,148.5,17.1
MNT-000009,VEH-00007,2023-05-23,Overhaul,EM-001,300.0,6.1,Transmission fluid change,2,600.0,165.0,135.0,9.5,2,768.2,181.5,148.5,12.9
MNT-000010,VEH-00007,2022-11-05,Overhaul,PM-002,300.0,3.4,Battery check and replacement,2,600.0,165.0,135.0,9.5,2,787.45,181.5,148.5,12.9
MNT-000011,VEH-00008,2024-05-09,Inspection,PM-001,300.0,5.8,Radiator flush,2,600.0,165.0,135.0,19.0,3,663.71,181.5,148.5,22.3
MNT-000012,VEH-00008,2024-05-05,Inspection,OVH-002,300.0,13.2,Brake pad replacement,2,600.0,165.0,135.0,19.0,3,834.58,181.5,148.5,22.3
MNT-000013,VEH-00009,2024-02-24,Corrective,OVH-001,300.0,1.7,Chassis lubrication,1,300.0,165.0,135.0,1.7,1,404.92,181.5,148.5,2.7
MNT-000014,VEH-00011,2024-03-17,Emergency,INS-001,300.0,8.9,Fuel system cleaning,2,600.0,165.0,135.0,15.1,3,698.22,181.5,148.5,20.2
MNT-000015,VEH-00011,2023-09-08,Preventive,OVH-002,300.0,6.2,AC servicing,2,600.0,165.0,135.0,15.1,3,692.73,181.5,148.5,20.2
MNT-000016,VEH-00013,2023-09-20,Overhaul,CM-002,300.0,8.7,Radiator flush,1,300.0,165.0,135.0,8.7,1,346.51,181.5,148.5,13.4
MNT-000017,VEH-00014,2022-01-18,Emergency,OVH-001,300.0,3.3,Transmission fluid change,1,300.0,165.0,135.0,3.3,1,357.38,181.5,148.5,5.3
MNT-000018,VEH-00015,2024-02-29,Corrective,OVH-001,300.0,2.2,Electrical wiring inspection,2,600.0,165.0,135.0,12.3,2,754.46,181.5,148.5,17.1
MNT-000019,VEH-00015,2022-10-28,Emergency,CM-002,300.0,10.1,Suspension overhaul,2,600.0,165.0,135.0,12.3,2,737.75,181.5,148.5,17.1
MNT-000020,VEH-00016,2023-10-19,Emergency,CM-001,300.0,8.0,Chassis lubrication,2,600.0,165.0,135.0,17.1,3,712.42,181.5,148.5,27.2
MNT-000021,VEH-00016,2022-03-22,Overhaul,OVH-002,300.0,9.1,Battery check and replacement,2,600.0,165.0,135.0,17.1,3,770.13,181.5,148.5,27.2
MNT-000022,VEH-00017,2024-04-14,Corrective,CM-002,300.0,13.7,Tyre rotation and alignment,1,300.0,165.0,135.0,13.7,1,342.55,181.5,148.5,18.9
MNT-000023,VEH-00019,2024-02-18,Emergency,CM-002,300.0,5.4,Hydraulic system check,1,300.0,165.0,135.0,5.4,1,356.29,181.5,148.5,7.8
MNT-000024,VEH-00020,2022-10-02,Emergency,OVH-002,300.0,3.2,Radiator flush,2,600.0,165.0,135.0,7.5,3,725.95,181.5,148.5,10.9
MNT-000025,VEH-00020,2022-04-28,Emergency,CM-002,300.0,4.3,AC servicing,2,600.0,165.0,135.0,7.5,3,742.09,181.5,148.5,10.9
MNT-000026,VEH-00021,2022-03-13,Corrective,PM-002,300.0,12.6,Chassis lubrication,3,900.0,165.0,135.0,35.5,4,1202.0,181.5,148.5,46.9
MNT-000027,VEH-00021,2024-10-19,Inspection,PM-001,300.0,10.9,Radiator flush,3,900.0,165.0,135.0,35.5,4,1043.91,181.5,148.5,46.9
MNT-000028,VEH-00021,2024-08-14,Inspection,EM-001,300.0,12.0,Air filter replacement,3,900.0,165.0,135.0,35.5,4,1128.84,181.5,148.5,46.9
MNT-000029,VEH-00022,2023-07-04,Emergency,CM-002,300.0,4.0,Radiator flush,1,300.0,165.0,135.0,4.0,1,383.32,181.5,148.5,6.4
MNT-000030,VEH-00023,2024-08-25,Emergency,OVH-001,300.0,11.1,Chassis lubrication,2,600.0,165.0,135.0,15.7,3,668.36,181.5,148.5,20.3
MNT-000031,VEH-00023,2024-02-22,Preventive,OVH-001,300.0,4.6,Tyre rotation and alignment,2,600.0,165.0,135.0,15.7,3,769.36,181.5,148.5,20.3
MNT-000032,VEH-00024,2022-12-29,Emergency,EM-001,300.0,8.3,Engine oil and filter replacement,1,300.0,165.0,135.0,8.3,1,345.35,181.5,148.5,10.0
