vehicle_id,vehicle_type,make,model_name,model_year,department,fuel_type,purchase_price_inr,odometer_km,vehicle_age_yrs,status_now,status_future,fleet_degradation_now,fleet_degradation_future
VEH-00001,Fire Engine,Ashok Leyland,Dost Strong,2018,FIRE DEPARTMENT,Petrol,5557000,25256,6,Active,In Service,0.1848,0.2993
VEH-00002,Garbage Truck,Ashok Leyland,Captain 3520,2015,PUBLIC WORKS,Diesel,2384000,15116,9,Active,Active,0.176,0.2389
VEH-00003,Motorcycle,Royal Enfield,Bullet 350,2013,POLICE DEPARTMENT,Diesel,3045000,88526,11,Active,Active,0.442,0.4757
VEH-00004,SUV,Toyota,Innova Crysta,2016,POLICE DEPARTMENT,Diesel,2989000,98307,8,Active,Active,0.4875,0.5252
VEH-00005,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2022,WATER DEPARTMENT,Diesel,3767000,75461,2,Under Maintenance,Under Maintenance,0.4578,0.5569
VEH-00006,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2022,WATER DEPARTMENT,Diesel,5138000,46726,2,Under Maintenance,Under Maintenance,0.2734,0.3656
VEH-00007,Water Tanker,Tata,TIPPER 1618,2014,WATER DEPARTMENT,Diesel,3645000,77124,10,Active,Active,0.3486,0.4446
VEH-00008,Tipper Truck,Tata,Prima 3130.K,2020,PUBLIC WORKS,CNG,5684000,43672,4,In Service,In Service,0.2797,0.3698
VEH-00009,Patrol Car,Maruti Suzuki,Swift Dzire,2017,POLICE DEPARTMENT,Diesel,5349000,35557,7,In Service,Under Maintenance,0.1729,0.244
VEH-00010,Prison Van,Tata,Winger,2012,POLICE DEPARTMENT,Diesel,3990000,89823,12,Active,In Service,0.514,0.5502
VEH-00011,Water Tanker,Tata,TIPPER 1618,2014,WATER DEPARTMENT,Diesel,3046000,82098,10,Under Maintenance,Under Maintenance,0.5053,0.6105
VEH-00012,Garbage Truck,Ashok Leyland,Captain 3520,2023,PUBLIC WORKS,Diesel,2489000,103256,1,Under Maintenance,Under Maintenance,0.6004,0.6467
VEH-00013,Garbage Truck,Ashok Leyland,Captain 3520,2015,PUBLIC WORKS,Diesel,3984000,107579,9,Under Maintenance,Under Maintenance,0.6636,0.7827
VEH-00014,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2020,WATER DEPARTMENT,Diesel,5004000,46325,4,Under Maintenance,Under Maintenance,0.2774,0.3259
VEH-00015,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2022,WATER DEPARTMENT,Petrol,3429000,26262,2,Active,Active,0.1843,0.2219
VEH-00016,Water Tanker,Tata,TIPPER 1618,2017,WATER DEPARTMENT,Petrol,5382000,100391,7,Under Maintenance,Under Maintenance,0.562,0.6258
VEH-00018,Aerial Ladder Truck,Tata,LPT 2518,2012,FIRE DEPARTMENT,Petrol,5271000,53097,12,Active,Active,0.3139,0.4318
VEH-00019,Water Tender,Tata,ULTRA 812,2019,FIRE DEPARTMENT,Diesel,4252000,69727,5,Active,Active,0.4108,0.4763
VEH-00021,Prison Van,Tata,Winger,2013,POLICE DEPARTMENT,Petrol,2954000,70302,11,Active,Active,0.3361,0.455
VEH-00022,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2022,WATER DEPARTMENT,CNG,999000,87730,2,Under Maintenance,Under Maintenance,0.4887,0.5894
VEH-00025,Water Tender,Tata,ULTRA 812,2017,FIRE DEPARTMENT,Electric,3971000,76692,7,In Service,In Service,0.4071,0.4477
VEH-00026,Motorcycle,Royal Enfield,Bullet 350,2019,POLICE DEPARTMENT,Diesel,5850000,42108,5,Active,In Service,0.2922,0.358
VEH-00027,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2017,WATER DEPARTMENT,Diesel,5594000,27932,7,In Service,In Service,0.1407,0.1833
VEH-00028,Aerial Ladder Truck,Tata,LPT 2518,2016,FIRE DEPARTMENT,Diesel,5567000,61368,8,In Service,In Service,0.2787,0.3219
VEH-00029,SUV,Toyota,Innova Crysta,2016,POLICE DEPARTMENT,Petrol,2380000,93536,8,Under Maintenance,Under Maintenance,0.5093,0.6205
VEH-00030,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2021,WATER DEPARTMENT,CNG,1979000,55273,3,Active,Active,0.3284,0.4479
VEH-00031,Patrol Car,Maruti Suzuki,Swift Dzire,2021,POLICE DEPARTMENT,Diesel,4667000,18308,3,In Service,Under Maintenance,0.1854,0.3049
VEH-00032,Water Tanker,Tata,TIPPER 1618,2022,WATER DEPARTMENT,Diesel,2498000,52839,2,In Service,In Service,0.2694,0.3389
VEH-00033,Inspection Van,Maruti Suzuki,Eeco,2019,WATER DEPARTMENT,Petrol,2214000,129324,5,Under Maintenance,Under Maintenance,0.6635,0.7151
VEH-00034,Garbage Truck,Ashok Leyland,Captain 3520,2018,PUBLIC WORKS,Electric,2113000,58319,6,In Service,In Service,0.3248,0.3703
VEH-00035,Dump Truck,BharatBenz,1617R,2019,PUBLIC WORKS,Diesel,1160000,72486,5,Active,Active,0.4369,0.5013
VEH-00036,Motorcycle,Royal Enfield,Bullet 350,2023,POLICE DEPARTMENT,CNG,4568000,6010,1,In Service,In Service,0.0977,0.1816
VEH-00038,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2018,WATER DEPARTMENT,CNG,3736000,89374,6,Under Maintenance,Under Maintenance,0.4872,0.5637
VEH-00039,Patrol Car,Maruti Suzuki,Swift Dzire,2013,POLICE DEPARTMENT,Diesel,2187000,20727,11,In Service,In Service,0.1377,0.2435
VEH-00040,Water Tender,Tata,ULTRA 812,2022,FIRE DEPARTMENT,Diesel,4273000,71713,2,Active,Active,0.3715,0.4843
VEH-00041,Water Tanker,Tata,TIPPER 1618,2020,WATER DEPARTMENT,Petrol,5715000,40221,4,Active,Active,0.2136,0.3233
VEH-00042,Water Tender,Tata,ULTRA 812,2018,FIRE DEPARTMENT,CNG,4394000,52517,6,Active,Active,0.2752,0.3384
VEH-00043,Water Tanker,Tata,TIPPER 1618,2023,WATER DEPARTMENT,Diesel,2767000,77140,1,Active,In Service,0.3759,0.4915
VEH-00044,Tipper Truck,Tata,Prima 3130.K,2022,PUBLIC WORKS,Diesel,1726000,13603,2,Active,Active,0.1098,0.2229
VEH-00046,Motorcycle,Royal Enfield,Bullet 350,2020,POLICE DEPARTMENT,Diesel,3186000,91033,4,Active,Active,0.4688,0.5367
VEH-00048,Aerial Ladder Truck,Tata,LPT 2518,2022,FIRE DEPARTMENT,Diesel,5881000,144821,2,Under Maintenance,Under Maintenance,0.7493,0.8636
